,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,AVGO,CSCO,ADBE,JPM,V,MA,PG,KO,PEP,JNJ,WMT,DIS,PFE,SAN.MC,BBVA.MC,TEF.MC,ITX.MC,REP.MC,IBE.MC,CABK.MC,SAB.MC,ACS.MC,FER.MC,NFLX,INTC,AMD,QCOM,TXN,HON,AMGN,SBUX,MDLZ,GILD,NKE,ORCL,IBM,GE,CAT,GS,MS,AXP,BAC,C
PFE,0.022716038672075754,0.023359324146396705,0.020448309734245065,0.015696714403915055,0.020858752764399864,0.021378662335373454,0.013697117818988398,0.02015290262358283,0.026604549061426275,0.02114442630408509,0.025966018449618225,0.02334015400453853,0.025030939017802106,0.01925869639626754,0.021065498780834403,0.022209642754830047,0.025183768998497617,0.013895053446986315,0.018864582562956894,0.0668589472311351,0.01698165737866859,0.014283569611230656,0.014954200826805736,0.011614222760557022,0.01564673847898057,0.012542284755343617,0.011479099076870825,0.0146019121523761,0.01543617915724045,0.012522405629912319,0.01404408131988666,0.026865743242645422,0.025239177152614912,0.01997831917107114,0.02257256607015551,0.02263534561473992,0.026427370440240246,0.02200828885323728,0.02077484409839198,0.024260049587120355,0.020414965875213794,0.023578381914662914,0.02493459683483499,0.022586646282179202,0.023272507181320876,0.023838564709109184,0.02757676767121669,0.02625975456632226,0.027149279279844705,0.02865542752418237
SAN.MC,0.02398775158089486,0.022011234481537897,0.026476283565058895,0.015738304962836697,0.026492211471268356,0.036002729611318056,0.03651663187162348,0.03535891848013729,0.02762153279681054,0.017125027799982182,0.05698779387721321,0.03402277787447883,0.03868498816174711,0.010355246627364222,0.022097063852010535,0.014853385656116162,0.012507267525955205,0.0071487413651318095,0.03854524532099811,0.01698165737866859,0.12489920219843126,0.10896995083224857,0.05120839528542114,0.04956768702688736,0.06415235014707063,0.026074533363001237,0.09258692142502961,0.12391252282708277,0.06570951936014147,0.04451252634557777,0.01615905337183215,0.036196001776163646,0.031572880859342345,0.03185016288177023,0.03262888526076928,0.037751748439445065,0.014515072034280308,0.030511071347133566,0.018905279071051117,0.012139586973461802,0.0325883154018061,0.023923874254718515,0.033457132890999296,0.06065174112622201,0.049236562896198655,0.054412669867121226,0.06086093746573277,0.0634412411496321,0.06442513808470718,0.06949635955010712
BBVA.MC,0.02345893902681172,0.023007539947691624,0.026426171224754796,0.015264938087159242,0.029028642725406038,0.035619602095408744,0.039720634651283476,0.036880599225330574,0.028629163515780605,0.020031252331436804,0.05721719023743158,0.03625509203148989,0.040436599767885474,0.009405731236881336,0.021721434042694256,0.014723256656121632,0.01242061364338763,0.008145264388348132,0.037344659400933074,0.014283569611230656,0.10896995083224857,0.13166042284734797,0.048176873379415674,0.051309677635272985,0.06083379880912478,0.02595209611356933,0.09202911674765876,0.121891747988306,0.06344511959554323,0.044813340711717845,0.015743465376726117,0.03253033538020953,0.03371020102748528,0.02844358823703267,0.0317268751738202,0.03949446333010227,0.013206554428060263,0.03051537011011042,0.01938871819199821,0.010879890813310414,0.03458014623037281,0.026387343517879927,0.03293814803645456,0.059623967414222594,0.048022205619712814,0.05331478569086412,0.05934328118965783,0.06536836704817249,0.06417918387961924,0.07077658568733818
TEF.MC,0.01481642043011014,0.012972032205953464,0.015920305579142962,0.007589323912837463,0.011666975989989756,0.014821880540425363,0.020596052571034196,0.016459382093148255,0.019120913339504726,0.009552523640779216,0.030080277439286793,0.019589283735261205,0.02041952199445541,0.011000992439439111,0.015051019840689014,0.015076107572761014,0.012699516825662213,0.009842479547438963,0.021550728975954184,0.014954200826805736,0.05120839528542114,0.048176873379415674,0.07303667231660353,0.028159539809914994,0.03976986897064227,0.022044821499524872,0.04151795632210211,0.057982590906490376,0.0343893395544785,0.025430027297138315,0.0048931746297946384,0.022204708094415312,0.014929373254333815,0.016568267467981037,0.017173257857691887,0.0194619946786899,0.015143367979542325,0.01731846768157286,0.015489325337176453,0.014446478745712636,0.017830409616832785,0.015156322009848568,0.022631336170043145,0.030613135076734348,0.024208847095645754,0.02864761127200849,0.03211741903001789,0.03444339553861491,0.03510311947210322,0.03619371105050492
ITX.MC,0.017510720625670346,0.01765317794967181,0.019143169676130094,0.013263756534202944,0.022476274827972487,0.026718771635839512,0.028303404288989496,0.02674702955617972,0.020326927894609905,0.018039007219595223,0.030229770183675897,0.025529795824368307,0.02888782489897858,0.00881566008877002,0.01523666141794245,0.011284413806620498,0.009858834126663822,0.006691606823253325,0.025767254264466254,0.011614222760557022,0.04956768702688736,0.051309677635272985,0.028159539809914994,0.07597707698213894,0.037330048513896416,0.022597622770699245,0.036860546254458296,0.04871508285721093,0.042504110560597025,0.03694199762986003,0.012824395571080009,0.02307834095884654,0.024265415197281447,0.023456555286269554,0.021386472081804782,0.024329001907105883,0.011848661194682355,0.024295572586887717,0.014237760200051127,0.007998809799075012,0.02647222180177204,0.01843444752979523,0.02250441453774222,0.036001051464335014,0.028224176573837897,0.030393681213292986,0.034335165142095114,0.03977441022989459,0.03354252358025614,0.0386805596812802
REP.MC,0.018160070214368763,0.016917678107198308,0.019223849692053187,0.0060591893940455345,0.011922540675198665,0.023366329437881868,0.02721020640099549,0.027486653834686802,0.022870475497110975,0.01321426062615518,0.044527614555328346,0.028394254408187672,0.03273786292880174,0.006824198394221787,0.018687319183718878,0.012340179390389559,0.012548335046430931,0.003997308717409672,0.030971640526950988,0.01564673847898057,0.06415235014707063,0.06083379880912478,0.03976986897064227,0.037330048513896416,0.10963232662144522,0.017652034511444595,0.054827463952186996,0.07404375575671973,0.054960005679079216,0.035638863153206385,0.007183827238824484,0.029569869723122956,0.017615131715059986,0.02559987255005775,0.02293917572020097,0.0343736711737478,0.013635576908909729,0.02296864272770712,0.014962869562915312,0.00926199371944758,0.022868122406833693,0.020388818957308857,0.031835575661263674,0.05082626219346824,0.04748930797998696,0.04201837505768754,0.045974283524792846,0.05113248684403692,0.0489911088419455,0.056256754691398216
IBE.MC,0.016037493758751194,0.016766966668885212,0.013052882355014348,0.010542727160741415,0.016024964828140264,0.01753641730251947,0.01855379794369846,0.01601415501581717,0.013590793034005528,0.01519219865078631,0.018422845823581356,0.016696389387650015,0.01954420314558998,0.012693203299473332,0.014427106257707708,0.015503821813159931,0.011222285251545392,0.009269218734796057,0.013882966926449665,0.012542284755343617,0.026074533363001237,0.02595209611356933,0.022044821499524872,0.022597622770699245,0.017652034511444595,0.04540363184474049,0.019125822726087156,0.021686195353416787,0.024322460320799225,0.02480750331685209,0.010263356117899395,0.017664573698223586,0.016716828083837128,0.015628244377939155,0.015527694030835634,0.016837512766615794,0.012710201963812687,0.017094314062245132,0.01592106713418335,0.011366040451586094,0.016420526782223187,0.012546261703273505,0.013680711452257814,0.019184209064848422,0.014388723232416785,0.02036405476180927,0.02283788895149436,0.02320261235131973,0.02036470301338766,0.02196113853640959
CABK.MC,0.01482787117873898,0.013908782433860324,0.0163063959259939,0.012152311460491616,0.013051928623755434,0.02112477441014481,0.02697416476379236,0.02515846485861539,0.02115814300920203,0.01000546055996313,0.05030728925757387,0.025863614001533846,0.02918589239573255,0.0065878927176428416,0.015939008470738408,0.010245346621226548,0.009068064854128186,0.003979065197621607,0.03208258462102434,0.011479099076870825,0.09258692142502961,0.09202911674765876,0.04151795632210211,0.036860546254458296,0.054827463952186996,0.019125822726087156,0.12261763927312737,0.12832761855734756,0.0512159874428457,0.0326969287072489,0.007279509668665951,0.022232420900453888,0.02007463137437131,0.022548839965098957,0.021067261643406145,0.03028953333566132,0.008232105990313071,0.022588911085754563,0.012718247734552428,0.008852947075843377,0.02474760831078056,0.019997351520978843,0.027410137058687608,0.050018449069479776,0.040479792535231506,0.04804508062156557,0.05088099274786899,0.05223660395213491,0.05636550609870523,0.062000029077785526
SAB.MC,0.02401597120543626,0.020326966395275103,0.021335504199358705,0.012992210021894109,0.019545478584251624,0.03252000659270012,0.03926651226127736,0.034676977442711976,0.02706003752333093,0.01388115850906195,0.06946708234641524,0.03639854283331753,0.040422705452694586,0.011275395247118562,0.0228159191665748,0.015455724951012452,0.011606378363456887,0.00793515518614859,0.0447350607639252,0.0146019121523761,0.12391252282708277,0.121891747988306,0.057982590906490376,0.04871508285721093,0.07404375575671973,0.021686195353416787,0.12832761855734756,0.22151565431532652,0.07368239553042284,0.04562946345241345,0.012033622913846355,0.03189314391950342,0.030590766294588914,0.03176592826209747,0.028172541504365125,0.04389500790092991,0.014133545228138103,0.0313833470682352,0.020079129540565396,0.010392293005696072,0.03324387172897196,0.028555288616393747,0.03324119352816025,0.07176802279200395,0.0539001448825725,0.0636310113183537,0.06808908947140202,0.07539898539221992,0.07680942363944185,0.08277787185720048
ACS.MC,0.018300225820056942,0.016806884688724353,0.020309871056904183,0.01125720869145638,0.019561795521745674,0.024546341199663722,0.03186869288214107,0.03455480053806957,0.021117795691416877,0.013453524386924862,0.0445396333592339,0.028774315187667716,0.03316019549407307,0.005682211430987192,0.019720540428898866,0.011844773331431389,0.01029675750364868,0.004117937836779354,0.02995770155060673,0.01543617915724045,0.06570951936014147,0.06344511959554323,0.0343893395544785,0.042504110560597025,0.054960005679079216,0.024322460320799225,0.0512159874428457,0.07368239553042284,0.10728842942737905,0.05082105728923489,0.008819349339721165,0.029921593508337552,0.022485871072062007,0.026261349886143107,0.02321074977753643,0.035283875290779,0.009610714285598537,0.024918646745267607,0.015899251925372313,0.006212538421834429,0.029251019315016773,0.02003770736047586,0.02841988262423221,0.05099940248234072,0.039185843845935264,0.0428042086549822,0.04723964252945419,0.05268009220691285,0.04525650499396572,0.05406619406795804
