N,K,Solver,p,seed,restart_id,is_best_restart,experiment_phase,Feasibility Ratio (%),Optimization GAP (%),gap_best_of_restarts,Sharpe Ratio In-Sample,Sharpe Ratio Out-of-Sample,Execution Time (s),objective
6,3,Simulated Annealing,,44,,True,N_scaling,100.0,0.0,0.0,2.1113684758499756,0.8441618861128735,0.013277000005473383,-0.1843847830914346
6,3,Standard QAOA,3.0,44,0.0,True,N_scaling,92.04502209425675,0.0,0.0,2.1113684758499756,0.8441618861128735,0.2821929000056116,-0.1843847830914346
6,3,XY-QAOA,3.0,44,,True,N_scaling,100.0,15.421685139251565,15.421685139251565,1.8828233991258603,0.7451408755531393,0.28256320000218693,-0.1559495423983816
6,3,XY-QAOA Regularized,3.0,44,0.0,True,N_scaling,99.99999999999996,6.998737176841913,6.998737176841913,2.144918406260443,0.8399714697032931,0.28565900000103284,-0.17148017672877505
6,3,Gurobi,,45,,True,N_scaling,100.0,0.0,0.0,2.311678895017132,1.2335307400615103,0.0038324000051943585,-0.22545725853736348
6,3,Simulated Annealing,,45,,True,N_scaling,100.0,0.0,0.0,2.311678895017132,1.2335307400615103,0.012033899998641573,-0.22545725853736348
6,3,Standard QAOA,3.0,45,0.0,True,N_scaling,95.5656272841201,0.0,0.0,2.311678895017132,1.2335307400615103,0.29018480000377167,-0.22545725853736348
6,3,XY-QAOA,3.0,45,,True,N_scaling,100.0,27.74555598708883,27.74555598708883,1.6004870851618633,0.8038141772732651,0.2810682999988785,-0.16290288864292368
6,3,XY-QAOA Regularized,3.0,45,0.0,True,N_scaling,99.99999999999993,2.005243755968436,2.005243755968436,2.1659521620594373,1.1793107650660912,0.2821999000007054,-0.22093629093816539
6,3,Gurobi,,46,,True,N_scaling,100.0,0.0,0.0,2.4822327927971317,0.2709791426255168,0.0036010000039823353,-0.17250697778094173
6,3,Simulated Annealing,,46,,True,N_scaling,100.0,0.0,0.0,2.4822327927971317,0.2709791426255168,0.014603399991756305,-0.17250697778094173
6,3,Standard QAOA,3.0,46,0.0,True,N_scaling,89.54944923143012,42.64023030343934,42.64023030343934,1.1512784392775537,2.2780845471088442,0.29453269999066833,-0.09894960516564524
6,3,XY-QAOA,3.0,46,,True,N_scaling,100.0,0.0,0.0,2.4822327927971317,0.2709791426255168,0.28262810000160243,-0.17250697778094173
6,3,XY-QAOA Regularized,3.0,46,0.0,True,N_scaling,100.00000000000003,0.0,0.0,2.4822327927971317,0.2709791426255168,0.28661929999361746,-0.17250697778094173
6,3,Gurobi,,47,,True,N_scaling,100.0,0.0,0.0,2.5038422492431045,0.04420129518313849,0.003937200002837926,-0.1409997785482687
6,3,Simulated Annealing,,47,,True,N_scaling,100.0,0.0,0.0,2.5038422492431045,0.04420129518313849,0.011805599991930649,-0.1409997785482687
6,3,Standard QAOA,3.0,47,0.0,True,N_scaling,94.84472173143438,0.0,0.0,2.5038422492431045,0.04420129518313849,0.2882518000114942,-0.1409997785482687
6,3,XY-QAOA,3.0,47,,True,N_scaling,100.0,11.271839370460789,11.271839370460789,1.9032648280483149,-0.10162143618143449,0.2834612000006018,-0.12510650999760242
6,3,XY-QAOA Regularized,3.0,47,0.0,True,N_scaling,99.99999999999996,48.2210311150475,48.2210311150475,1.2133735901118485,-0.3876504410769264,0.275624500005506,-0.07300823146235998
6,3,Gurobi,,48,,True,N_scaling,100.0,0.0,0.0,2.3265622218935,0.6913681864853688,0.003660900008981116,-0.14693784234922477
6,3,Simulated Annealing,,48,,True,N_scaling,100.0,0.0,0.0,2.3265622218935,0.6913681864853688,0.011863800013088621,-0.14693784234922477
6,3,Standard QAOA,3.0,48,0.0,True,N_scaling,94.86199083080446,0.0,0.0,2.3265622218935,0.6913681864853688,0.2833437000081176,-0.14693784234922477
6,3,XY-QAOA,3.0,48,,True,N_scaling,100.0,0.0,0.0,2.3265622218935,0.6913681864853688,0.27761150000151247,-0.14693784234922477
6,3,XY-QAOA Regularized,3.0,48,0.0,True,N_scaling,99.99999999999993,0.0,0.0,2.3265622218935,0.6913681864853688,0.2844252999930177,-0.14693784234922477
