N,K,regime,seed,solver,p,alpha,in_sample_obj,in_sample_gap,iterations,out_of_sample_sharpe,feasible,runtime
20,5,stable,42,xy_regularized,2.0,0.05,-0.21069446393322022,0.2743590861548446,47,1.4958009327731372,True,74.37823380300051
20,5,stable,42,xy_regularized,2.0,0.1,-0.21069446393322022,0.2743590861548446,51,1.4958009327731372,True,81.69009068000014
20,5,stable,43,gurobi,,,-0.30864089369032904,0.0,1,1.7457831388362075,True,0.02007148299981054
20,5,stable,43,sa,0.0,0.0,-0.3064316624148588,0.007157934417099117,1000,1.4424536406040234,True,0.6061801420000847
20,5,stable,43,xy_normal,2.0,0.0,-0.12754346356035146,0.5867577298803425,46,0.7070613037685454,True,77.76368364100017
20,5,stable,43,xy_regularized,2.0,0.05,-0.17006402206365293,0.4489906375326773,49,0.7941642035704239,True,78.5234041879994
20,5,stable,43,xy_regularized,2.0,0.1,-0.12754346356035146,0.5867577298803425,47,0.7070613037685454,True,74.53081837300033
20,5,stable,44,gurobi,,,-0.2843961589988856,0.0,1,1.512887163144395,True,0.033525955000186514
20,5,stable,44,sa,0.0,0.0,-0.28412412596064157,0.0009565285241601659,1000,1.1738150266406107,True,0.6453937159994894
20,5,stable,44,xy_normal,2.0,0.0,-0.0730094679740679,0.7432825104562892,52,0.7248769809605358,True,83.22962519599969
20,5,stable,44,xy_regularized,2.0,0.05,-0.18477890816837245,0.3502763580956222,45,0.8822825507159249,True,74.76851678799994
20,5,stable,44,xy_regularized,2.0,0.1,-0.19017240992648768,0.3313116091443666,53,1.505564234230501,True,88.87868343500031
10,3,volatile,42,gurobi,,,-0.16317299162666227,0.0,1,2.6400775707840394,True,0.03474103600001399
10,3,volatile,42,sa,0.0,0.0,-0.16317299162666227,0.0,1000,2.6400775707840394,True,0.28938566600027116
10,3,volatile,42,xy_normal,2.0,0.0,-0.12989033784596007,0.20397158530286974,51,2.125219364543566,True,18.107264780999685
10,3,volatile,42,xy_regularized,2.0,0.05,-0.12989033784596007,0.20397158530286974,46,2.125219364543566,True,16.396089457000016
10,3,volatile,42,xy_regularized,2.0,0.1,-0.12989033784596007,0.20397158530286974,45,2.125219364543566,True,17.28057892400011
10,3,volatile,43,gurobi,,,-0.17976812692218258,0.0,1,2.6512016282743596,True,0.032877977999305585
10,3,volatile,43,sa,0.0,0.0,-0.17976812692218258,0.0,1000,2.6512016282743596,True,0.29668677399968146
10,3,volatile,43,xy_normal,2.0,0.0,-0.06048648846406095,0.6635305184536737,44,0.7839893548749824,True,16.155031005000637
10,3,volatile,43,xy_regularized,2.0,0.05,-0.07216427778507449,0.5985702303261317,45,3.2754015179939273,True,16.06795374400008
10,3,volatile,43,xy_regularized,2.0,0.1,-0.02796154977036843,0.8444576897523534,48,2.0115618807307345,True,16.948254166999504
10,3,volatile,44,gurobi,,,-0.13406447788530532,0.0,1,1.8053896556927387,True,0.021789006999824778
10,3,volatile,44,sa,0.0,0.0,-0.13406447788530532,0.0,1000,1.8053896556927387,True,0.313149003000035
10,3,volatile,44,xy_normal,2.0,0.0,-0.04137929390913124,0.6913478159029418,52,1.1314285275633447,True,18.402781881999545
10,3,volatile,44,xy_regularized,2.0,0.05,0.022177659827287657,1.1654253250160798,52,0.7135126218066572,True,18.17665143100021
10,3,volatile,44,xy_regularized,2.0,0.1,-0.04137929390913124,0.6913478159029418,47,1.1314285275633447,True,17.598947999000302
